order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDJ10441,2018-06-22,13:34:38,Lunch,TP,"[('Fries', 8), ('Burger', 1), ('Salad', 3), ('Chicken', 2)]",242.6,-37.8044276,145.0017065,0,11.725,14.5288863
ORDJ07328,2018-05-07,12:13:31,Lunch,TP,"[('Salad', 4), ('Chicken', 7)]",292.8,-37.803965,144.9574007,0,9.326,12.4806287
ORDK05266,2018-06-19,13:34:38,Lunch,BK,"[('Chicken', 3), ('Fries', 7)]",180.0,-37.8211073,145.0015792,0,5.099,10.859659
ORDY06038,2018-05-01,11:53:14,Breakfast,TP,"[('Cereal', 2), ('Eggs', 8), ('Coffee', 5)]",255.5,-37.8032483,145.0017996,0,11.773,14.2066983
ORDA06375,2018-17-03,10:21:58,Breakfast,BK,"[('Pancake', 3), ('Coffee', 8), ('Cereal', 4), ('Eggs', 7)]",370.75,-37.8076334,144.9422621,0,9.536,17.4773642
ORDI01833,02-03-2018,09:51:32,Breakfast,NS,"[('Coffee', 2), ('Eggs', 1), ('Cereal', 9), ('Pancake', 5)]",347.25,-37.8181913,144.9669356,0,8.432,13.8876165
ORDI00829,2018-09-02,16:06:45,Dinner,NS,"[('Fish&Chips', 2), ('Pasta', 3)]",152.5,-37.8122719,144.9695152,0,7.481,15.1216362
ORDI04589,2018-05-16,12:23:39,Lunch,NS,"[('Chicken', 2), ('Fries', 1), ('Salad', 10)]",248.0,-37.8144028,144.9744978,0,8.596,13.5631536
ORDI07508,2018-11-09,18:18:35,Dinner,NS,"[('Salmon', 6), ('Fish&Chips', 4), ('Shrimp', 3), ('Pasta', 3)]",630.5,-37.8198647,144.9525642,0,9.483,15.5213574
ORDY00819,2018-10-21,17:38:01,Dinner,TP,"[('Pasta', 4), ('Fish&Chips', 2), ('Shrimp', 9)]",666.0,-37.8202322,144.9687329,0,7.623,13.0481244
ORDZ02532,2018-05-24,12:43:56,Lunch,NS,"[('Chicken', 7), ('Salad', 1), ('Steak', 10)]",691.2,-37.8132804,144.984748,0,8.525,13.9100993
ORDY04900,2018-08-31,15:56:37,Dinner,TP,"[('Burger', 9), ('Chicken', 5), ('Steak', 9), ('Salad', 7)]",964.4,-37.8067574,144.9829273,0,9.911,13.0999197
ORDI04047,2018-06-08,13:14:21,Lunch,NS,"[('Burger', 2), ('Fries', 1), ('Steak', 7), ('Chicken', 2), ('Salad', 4)]",521.8,-37.8032624,144.9518701,0,8.057,13.6871258
ORDA01581,02-12-2018,19:09:17,Dinner,BK,"[('Salmon', 10), ('Fish&Chips', 4)]",550.0,-37.8156175,144.9657244,0,7.605,16.1061831
ORDJ10078,2018-01-05,08:00:00,Dinner,TP,"[('Coffee', 2), ('Pancake', 6), ('Eggs', 2)]",204.5,-37.8115911,144.9724848,1,8.833,6.2812783
ORDZ09287,2018-01-13,08:20:16,Breakfast,NS,"[('Eggs', 9), ('Coffee', 9), ('Pancake', 4)]",362.5,-37.8191873,144.9876191,1,9.164,7.9310994
ORDY06784,2018-12-28,20:00:00,Dinner,TP,"[('Fish&Chips', 6), ('Salmon', 4)]",374.0,-37.8117127,144.9716148,0,8.771,13.3274752
ORDA05875,2018-10-12,17:27:53,Dinner,BK,"[('Salmon', 5), ('Fish&Chips', 4)]",345.0,-37.8204525,144.9988393,0,7.147,11.8271566
ORDJ04693,2018-11-19,18:38:52,Dinner,TP,"[('Salmon', 8), ('Fish&Chips', 10), ('Pasta', 6), ('Shrimp', 2)]",951.0,-37.8115594,145.0063953,0,11.561,15.2249322
ORDJ00754,2018-04-30,11:53:14,Lunch,TP,"[('Eggs', 4), ('Cereal', 9), ('Pancake', 3), ('Coffee', 3)]",372.25,-37.8046905,144.9731711,0,9.633,12.22026
ORDJ04956,2018-06-14,13:24:30,Lunch,TP,"[('Burger', 9), ('Salad', 8)]",416.6,-37.8095146,144.963777,0,8.662,12.2230241
ORDJ00747,2018-03-02,09:51:32,Breakfast,TP,"[('Eggs', 4), ('Cereal', 10), ('Coffee', 6), ('Pancake', 3)]",415.75,-37.8244253,144.9749719,0,8.381,11.2694043
ORDI04492,2018-03-29,10:52:23,Breakfast,NS,"[('Cereal', 9), ('Coffee', 1)]",196.5,-37.8019486,144.9574317,0,9.942,11.8992165
ORDB01485,2018-01-16,08:30:25,Breakfast,tp,"[('Coffee', 3), ('Cereal', 6), ('Eggs', 1), ('Pancake', 5)]",291.75,-37.8141178,144.9378554,1,10.37,6.490161
ORDZ02191,2018-02-03,09:00:50,Breakfast,NS,"[('Eggs', 9), ('Cereal', 2), ('Pancake', 9), ('Coffee', 1)]",465.75,-37.821239,144.9614195,0,9.515,16.5488082
ORDB09972,2018-12-29,20:00:00,Dinner,TP,"[('Cereal', 8), ('Salmon', 4), ('Pasta', 7), ('Shrimp', 4)]",852.5,-37.8163952,144.9381699,0,10.381,15.5494626
ORDI01004,2018-03-24,10:42:15,Breakfast,NS,"[('Eggs', 1), ('Pancake', 4), ('Coffee', 3)]",141.5,-37.8123572,144.9540342,0,8.334,15.1213487
ORDZ00134,2018-06-16,13:24:30,Lunch,NS,"[('Fries', 10), ('Steak', 7), ('Chicken', 1), ('Salad', 1), ('Burger', 4)]",608.2,-37.822442,144.9846368,0,9.071,16.6874242
ORDZ07159,2018-08-14,15:26:11,Lunch,NS,"[('Chicken', 10), ('Fries', 3)]",356.0,37.8113788,145.0020583,0,9.791,15.5545369
ORDA09897,2018-05-14,12:23:39,Lunch,BK,"[('Fries', 7), ('Burger', 5), ('Salad', 7), ('Chicken', 8), ('Steak', 6)]",172.0,-37.8191851,144.9610198,0,8.028,13.8122244
ORDB07770,2018-12-26,19:49:51,Dinner,bk,"[('Salmon', 8), ('Fish&Chips', 6), ('Pasta', 6), ('Shrimp', 9)]",1189.0,-37.8042493,145.0108887,0,12.722,15.9178318
ORDC00255,2018-01-13,08:20:16,Breakfast,NS,"[('Cereal', 8), ('Coffee', 1)]",175.5,-37.8160065,144.938349,1,9.96,8.4798166
ORDA01534,2018-03-09,10:11:49,Breakfast,BK,"[('Coffee', 4), ('Pancake', 8)]",224.0,-37.8159881,144.9662227,0,7.602,12.6704232
ORDB05934,2018-01-03,08:00:00,Breakfast,TP,"[('Pancake', 7), ('Coffee', 8)]",229.75,-37.8031878,144.9367171,1,10.852,6.7964287
ORDZ05474,2018-04-14,11:22:49,Breakfast,NS,"[('Pancake', 6), ('Coffee', 8), ('Cereal', 7), ('Eggs', 1)]",374.5,-37.8113538,144.9785104,0,7.887,15.0507117
ORDB06446,2018-10-06,17:07:36,Dinner,TP,"[('Pasta', 5), ('Burger', 5)]",312.5,-37.8243775,144.9824891,0,8.748,14.5288067
ORDA05085,2018-02-12,09:21:07,Breakfast,BK,"[('Cereal', 4), ('Eggs', 2), ('Pancake', 9)]",346.25,-37.8139569,144.9715919,1,7.048,11.7755336
