order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDJ10441,2018-06-22,13:34:38,Lunch,TP,"[('Fries', 8), ('Burger', 1), ('Salad', 3), ('Chicken', 2)]",242.6,-37.804427600000004,145.00170649999998,0,11.725,14.528886300000002
ORDJ07328,2018-05-07,12:13:31,Lunch,TP,"[('Salad', 4), ('Chicken', 7)]",292.8,-37.803965000000005,144.9574007,0,9.326,12.4806287
ORDK05266,2018-06-19,13:34:38,Lunch,BK,"[('Chicken', 3), ('Fries', 7)]",180.0,-37.821107299999994,145.00157919999998,0,5.099,10.859658999999999
ORDY06038,2018-05-01,11:53:14,Breakfast,TP,"[('Cereal', 2), ('Eggs', 8), ('Coffee', 5)]",255.5,-37.80324829999999,145.0017996,0,11.773,14.206698300000001
ORDA06375,2018-03-17,10:21:58,Breakfast,BK,"[('Pancake', 3), ('Coffee', 8), ('Cereal', 4), ('Eggs', 7)]",370.75,-37.8076334,144.9422621,0,9.536,17.4773642
ORDI01833,2018-03-02,09:51:32,Breakfast,NS,"[('Coffee', 2), ('Eggs', 1), ('Cereal', 9), ('Pancake', 5)]",347.25,-37.818191299999995,144.9669356,0,8.432,13.8876165
ORDI00829,2018-09-02,16:06:45,Dinner,NS,"[('Fish&Chips', 2), ('Pasta', 3)]",152.5,-37.8122719,144.9695152,0,7.481,15.1216362
ORDI04589,2018-05-16,12:23:39,Lunch,NS,"[('Chicken', 2), ('Fries', 1), ('Salad', 10)]",248.0,-37.814402799999996,144.97449780000002,0,7.795,13.5631536
ORDI07508,2018-11-09,18:18:35,Dinner,NS,"[('Salmon', 6), ('Fish&Chips', 4), ('Shrimp', 3), ('Pasta', 3)]",630.5,-37.819864700000004,144.9525642,0,9.483,15.5213574
ORDY00819,2018-10-21,17:38:01,Dinner,TP,"[('Pasta', 4), ('Fish&Chips', 2), ('Shrimp', 9)]",666.0,-37.82023220000001,144.96873290000002,0,7.623,13.0481244
ORDZ02532,2018-05-24,12:43:56,Lunch,NS,"[('Chicken', 7), ('Salad', 1), ('Steak', 10)]",691.2,-37.813280400000004,144.984748,0,8.525,13.910099300000002
ORDY04900,2018-08-31,15:56:37,Lunch,TP,"[('Burger', 9), ('Chicken', 5), ('Steak', 9), ('Salad', 7)]",964.4,-37.806757399999995,144.9829273,0,9.911,13.0999197
ORDI04047,2018-06-08,13:14:21,Lunch,NS,"[('Burger', 2), ('Fries', 1), ('Steak', 7), ('Chicken', 2), ('Salad', 4)]",521.8,-37.8032624,144.95187009999998,0,8.057,13.6871258
ORDA01581,2018-12-02,19:09:17,Dinner,BK,"[('Salmon', 10), ('Fish&Chips', 4)]",550.0,-37.8156175,144.9657244,0,7.605,16.1061831
ORDJ10078,2018-01-05,08:00:00,Breakfast,TP,"[('Coffee', 2), ('Pancake', 6), ('Eggs', 2)]",204.5,-37.8115911,144.97248480000002,1,8.833,6.281278299999999
ORDZ09287,2018-01-13,08:20:16,Breakfast,NS,"[('Eggs', 9), ('Coffee', 9), ('Pancake', 4)]",362.5,-37.819187299999996,144.9876191,1,9.164,7.931099400000001
ORDY06784,2018-12-28,20:00:00,Dinner,TP,"[('Fish&Chips', 6), ('Salmon', 4)]",374.0,-37.8117127,144.9716148,0,8.771,13.327475199999999
ORDA05875,2018-10-12,17:27:53,Dinner,BK,"[('Salmon', 5), ('Fish&Chips', 4)]",345.0,-37.8204525,144.99883930000001,0,5.105,11.827156599999999
