order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDB09494,2018-03-20,10:32:06,Breakfast,TP,"[('Cereal', 8), ('Pancake', 7), ('Coffee', 8)]",397.75,-37.8104287,144.95710290000002,0,8.863999999999999,11.3742595
ORDX00038,2018-11-10,18:18:35,Dinner,BK,"[('Salmon', 8), ('Fish&Chips', 1), ('Shrimp', 1)]",417.0,-37.8196704,145.0100186,0,4.324,13.4682638
ORDA02212,2018-06-22,13:44:47,Lunch,BK,"[('Steak', 3), ('Fries', 8), ('Salad', 9), ('Burger', 10)]",695.8,-37.803468200000005,144.96273530000002,0,7.773,13.205377499999999
ORDX04604,2018-06-04,13:04:13,Lunch,BK,"[('Fries', 3), ('Chicken', 5)]",196.0,-37.8022422,144.9328757,0,10.353,16.444682500000003
ORDA01361,2018-04-07,11:12:40,Breakfast,BK,"[('Pancake', 3), ('Coffee', 6), ('Cereal', 3)]",180.75,-37.8183864,145.0130674,0,4.213,11.287161
ORDA01151,2018-11-30,18:59:09,Dinner,BK,"[('Salmon', 10), ('Fish&Chips', 6), ('Shrimp', 4), ('Pasta', 9)]",1083.5,-37.8020879,145.00374,0,5.308,12.5621271
ORDC04774,2018-10-26,17:48:10,Dinner,NS,"[('Pasta', 6), ('Shrimp', 5)]",435.0,-37.820523,144.9657444,0,8.933,15.096300099999999
ORDK03959,2018-06-09,13:14:21,Lunch,BK,"[('Burger', 5), ('Fries', 6), ('Chicken', 3), ('Steak', 3), ('Salad', 7)]",578.4,-37.8260948,144.9580486,0,9.078,17.4595723
ORDX08622,2018-07-03,14:05:04,Lunch,BK,"[('Salad', 10), ('Steak', 8), ('Burger', 8), ('Chicken', 5)]",940.0,-37.8075932,144.96293490000002,0,7.472,13.3919535
ORDA07420,2018-06-22,13:44:47,Lunch,BK,"[('Fries', 7), ('Salad', 6), ('Burger', 9), ('Steak', 5)]",691.2,-37.8044873,144.92905480000002,0,10.619000000000002,16.6836012
ORDZ07306,2018-01-18,08:30:25,Breakfast,NS,"[('Coffee', 4), ('Pancake', 4), ('Eggs', 6)]",259.0,-37.822575,144.9365815,1,10.556,8.0078521
ORDK08690,2018-10-12,17:27:53,Dinner,BK,"[('Salmon', 4), ('Fish&Chips', 7)]",409.0,-37.8181136,144.96689919999997,0,7.522,14.5845345
ORDK06344,2018-03-02,10:01:41,Breakfast,BK,"[('Cereal', 3), ('Coffee', 7)]",115.5,-37.8187409,144.99084630000002,0,5.691,10.384414900000001
ORDB06236,2018-05-03,12:03:22,Lunch,TP,"[('Chicken', 1), ('Salad', 6), ('Steak', 7)]",450.2,-37.816865299999996,144.9656426,0,7.747000000000001,11.724939
ORDX03418,2018-05-03,12:03:22,Lunch,BK,"[('Burger', 2), ('Fries', 2), ('Salad', 9)]",240.8,-37.810799100000004,144.96369330000002,0,7.678999999999999,13.6000119
ORDA09509,2018-02-04,09:00:50,Breakfast,BK,"[('Cereal', 2), ('Pancake', 4), ('Eggs', 8)]",315.0,-37.804460399999996,144.9658551,0,7.385,14.7502682
ORDJ05644,2018-05-08,12:13:31,Lunch,TP,"[('Fries', 6), ('Chicken', 1), ('Steak', 6), ('Burger', 3)]",467.0,-37.803883500000005,144.95744,0,9.329,13.159100199999997
ORDJ03955,2018-12-17,19:39:43,Dinner,TP,"[('Salmon', 7), ('Pasta', 9)]",534.5,-37.8078274,144.9521754,0,9.344,13.4972152
ORDZ06642,2018-01-11,08:20:16,Breakfast,NS,"[('Coffee', 10), ('Cereal', 3)]",138.0,-37.8163074,144.9851272,1,8.769,7.1282440000000005
ORDC10523,2018-05-17,12:23:39,Lunch,NS,"[('Burger', 5), ('Salad', 6), ('Steak', 2), ('Fries', 1), ('Chicken', 10)]",680.2,-37.803875,144.95836469999998,0,7.534,13.3749302
ORDC03003,2018-11-17,18:38:52,Dinner,NS,"[('Fish&Chips', 2), ('Pasta', 4), ('Shrimp', 8)]",612.0,-37.7989278,144.96927119999998,0,6.355,14.626056599999998
ORDY01070,2018-08-22,15:46:28,Lunch,TP,"[('Fries', 7), ('Salad', 1)]",101.2,-37.8150935,144.94883769999998,0,9.184,12.511927499999999
ORDJ04879,2018-11-02,18:08:27,Dinner,TP,"[('Fish&Chips', 3), ('Salmon', 2), ('Pasta', 10), ('Shrimp', 4)]",678.0,-37.8184412,144.9688053,0,7.919,11.737788900000002
ORDY06437,2018-07-05,14:05:04,Lunch,TP,"[('Fries', 1), ('Burger', 1), ('Steak', 1), ('Salad', 10), ('Chicken', 2)]",324.0,-37.8054165,144.9365283,0,10.745,14.1013883
ORDC09052,2018-03-13,10:21:58,Breakfast,NS,"[('Coffee', 2), ('Eggs', 6)]",147.0,-37.8239116,144.98174430000003,0,9.357999999999999,14.2693299
ORDC03007,2018-06-13,13:24:30,Lunch,NS,"[('Chicken', 10), ('Fries', 4)]",368.0,-37.811393200000005,144.95333440000002,0,8.413,14.1417022
ORDZ10857,2018-10-31,17:58:18,Dinner,NS,"[('Salmon', 4), ('Pasta', 6), ('Shrimp', 6)]",653.0,-37.815599600000006,144.9973708,0,9.703,15.7388155
ORDZ06085,2018-05-25,12:43:56,Lunch,NS,"[('Burger', 10), ('Fries', 1), ('Steak', 1), ('Salad', 4), ('Chicken', 4)]",563.8,-37.8251275,144.95685269999998,0,9.726,14.9477283
ORDB07845,2018-12-24,19:49:51,Dinner,TP,"[('Fish&Chips', 10), ('Salmon', 6), ('Shrimp', 9), ('Pasta', 3)]",1164.5,-37.8192448,145.0052222,0,11.056,14.436091399999999
ORDC01920,2018-08-11,15:16:03,Lunch,NS,"[('Burger', 8), ('Salad', 9), ('Chicken', 4), ('Steak', 3)]",665.8,-37.8186212,144.9532323,0,10.649000000000001,18.4117845
ORDZ10994,2018-07-06,14:05:04,Lunch,NS,"[('Burger', 8), ('Chicken', 1), ('Fries', 3), ('Steak', 7)]",631.0,-37.8105086,144.99600900000002,0,9.531,15.134908900000001
ORDJ03273,2018-09-19,16:37:10,Dinner,TP,"[('Shrimp', 6), ('Fish&Chips', 7)]",569.0,-37.7992834,144.9818062,0,10.58,14.8084742
ORDX04461,2018-12-26,19:49:51,Dinner,BK,"[('Pasta', 4), ('Salmon', 9), ('Fish&Chips', 7)]",724.0,-37.8133697,144.96512090000002,0,7.553999999999999,14.0666313
