ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID785374174,3 Valnere St,4,h,940000.0,7/05/2016,2.0,1.0,516.0,34.0,-37.7839,144.8853
ID469398047,16 Scotia St,3,h,1325000.0,10/12/2016,2.0,1.0,97.0,8.0,-37.8014,144.94899999999996
ID532121713,16 Sylvan St,4,t,1680000.0,18/03/2017,3.0,1.0,362.0,5.0,-37.7987,145.0788
ID727598171,195 Blackshaws Rd,3,h,975000.0,13/05/2017,2.0,2.0,333.0,9.0,-37.8334,144.8673
ID967462022,40 Lockton Av,3,h,670000.0,29/07/2017,2.0,1.0,536.0,49.0,-37.69505,144.98126000000005
ID555610131,2 Elgar Rd,3,h,1300000.0,4/06/2016,1.0,1.0,667.0,69.0,-37.8489,145.1093
ID269443161,5/14 Briggs St,2,u,570000.0,27/05/2017,1.0,1.0,601.0,9.0,-37.88524,145.02398
ID892363363,2/34 Doncaster Rd,3,u,1050000.0,8/10/2016,2.0,2.0,244.0,49.0,-37.7933,145.0672
ID471428433,3/8 Green St,3,t,855000.0,10/12/2016,2.0,2.0,0.0,39.0,-37.765,145.0422
ID769590825,37/2 Gordon St,2,u,500000.0,22/08/2016,1.0,1.0,0.0,13.0,-37.8822,144.9994
ID710260499,151 Chambers Rd,3,h,900000.0,1/07/2017,1.0,2.0,672.0,59.0,-37.8265,144.84386
ID769212337,1/124 Cuthbert St,3,t,465000.0,1/07/2017,2.0,3.0,248.0,9.0,-37.68358,144.92387
ID725673856,124 Swanston St,3,h,1240000.0,17/06/2017,2.0,1.0,673.0,54.0,-37.75965,145.09937
ID891446764,26 Oxford St,3,h,1622000.0,27/05/2017,2.0,2.0,446.0,20.0,-37.84473,145.09218
ID540027384,2 Addison St,3,h,1370000.0,16/04/2016,1.0,2.0,427.0,10.0,-37.7702,144.9266
ID783196330,3/406 Wattletree Rd,3,t,1253000.0,7/05/2016,2.0,1.0,216.0,25.0,-37.866,145.0549
ID583905526,1/165 Mitchell St,3,h,580000.0,10/12/2016,1.0,2.0,278.0,99.0,-37.7817,144.8685
ID674531195,22 Orchard Gr,3,h,901000.0,29/07/2017,2.0,2.0,678.0,44.0,-37.83637,145.24246000000005
ID607863977,16 Smith St,5,h,2600000.0,18/03/2017,4.0,2.0,1000.0,69.0,-37.9332,145.0226
ID491319103,13 Will St,3,t,850500.0,1/07/2017,2.0,2.0,353.0,49.0,-37.83401,145.17757
ID694142607,1A Wallen St,2,h,1035000.0,27/05/2017,1.0,1.0,542.0,34.0,-37.91704,145.01846
ID934346786,11 Findon St,2,h,1036000.0,3/12/2016,1.0,1.0,310.0,109.0,-37.8717,145.0399
ID320217144,8/49 Patterson St,2,u,702000.0,18/06/2016,1.0,1.0,0.0,49.0,-37.8549,144.9662
ID620303645,5 Pamela Ct,4,h,653000.0,3/06/2017,1.0,4.0,632.0,6.0,-37.68136,144.99479
ID689148548,7 Marigolds Rd,3,h,984000.0,29/04/2017,2.0,2.0,552.0,59.0,-37.7285,145.0851
ID464524360,1 Frogmore Rd,3,h,1600000.0,7/05/2016,2.0,2.0,751.0,96.0,-37.8945,145.0648
ID576162677,18 Grandvalley Dr,2,t,520000.0,1/07/2017,2.0,2.0,62.0,5.0,-37.738929999999996,144.87661
ID712883972,16/30 Shelley St,2,u,543000.0,17/06/2017,1.0,1.0,0.0,59.0,-37.88042,144.9818
ID845925676,129 Albion St,4,h,1115000.0,8/10/2016,1.0,0.0,264.0,119.0,-37.7611,144.9677
ID114849702,4 Vain Cl,3,h,665000.0,23/09/2017,1.0,4.0,345.0,39.0,-37.671209999999995,145.06246000000004
