ID,Address,Rooms,Type,Price,Date,Bathroom,Car,LandSize,Age,Latitude,Longitude,Suburb,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,distance_to_closest_primary,closest_primary_school,primary_school_ranking,distance_to_closest_secondary,closest_secondary_school,secondary_school_ranking
ID785374174,3 Valnere St,4,h,940000.0,7/05/2016,2.0,1.0,516.0,34.0,-37.7839,144.8853,MARIBYRNONG,20023,1993.5461955859353,19,False,87.14285714285714,348.73333333333335,76.0,460.50058207572704,Footscray North Primary School,235,551.7506777548334,Maribyrnong Secondary College,192
ID469398047,16 Scotia St,3,h,1325000.0,10/12/2016,2.0,1.0,97.0,8.0,-37.8014,144.94899999999996,NORTH MELBOURNE,19973,855.9627828887684,6,False,11.833333333333334,52.2,6.666666666666667,329.9568441600048,North Melbourne Primary School,182,612.8183822910628,Simonds Catholic College,262
ID532121713,16 Sylvan St,4,t,1680000.0,18/03/2017,3.0,1.0,362.0,5.0,-37.7987,145.0788,BALWYN NORTH,19893,2878.2381999141417,23,False,125.08695652173913,839.375,108.0,271.0591041115904,Balwyn North Primary School,142,201.4136309617801,Balwyn High School,44
ID727598171,195 Blackshaws Rd,3,h,975000.0,13/05/2017,2.0,2.0,333.0,9.0,-37.8334,144.8673,NEWPORT,19995,1666.829597168764,14,True,14.055555555555555,58.666666666666664,7.666666666666667,1035.4029684160607,St Margaret Mary's School,483,2199.0658951997048,Emmanuel College,180
ID967462022,40 Lockton Av,3,h,670000.0,29/07/2017,2.0,1.0,536.0,49.0,-37.69505,144.98126000000005,RESERVOIR,19961,2068.851522292797,39,False,126.42857142857143,380.2,68.3,1222.191779332316,St Matthew's School,not ranked,1188.6481773184119,John Fawkner Secondary College,515
ID555610131,2 Elgar Rd,3,h,1300000.0,4/06/2016,1.0,1.0,667.0,69.0,-37.8489,145.1093,BURWOOD,19849,2547.7947925219632,28,False,119.83333333333333,1063.6875,188.4,205.52926693856486,Presbyterian Ladies' College,1,205.52926693856486,Presbyterian Ladies' College,6
ID269443161,5/14 Briggs St,2,u,570000.0,27/05/2017,1.0,1.0,601.0,9.0,-37.88524,145.02398,CAULFIELD,19942,1678.4769468353954,29,False,199.16666666666666,1246.5625,144.54545454545453,358.09585814798834,Melbourne Montessori School,75,358.09585814798834,Melbourne Montessori School,not ranked
ID892363363,2/34 Doncaster Rd,3,u,1050000.0,8/10/2016,2.0,2.0,244.0,49.0,-37.7933,145.0672,BALWYN NORTH,19932,3248.437718732023,26,False,120.73913043478261,881.5,102.88888888888889,326.50574099199633,St Bede's School,442,420.38738508730125,Kew High School,124
ID471428433,3/8 Green St,3,t,855000.0,10/12/2016,2.0,2.0,0.0,39.0,-37.765,145.0422,IVANHOE,19933,518.3691977019198,26,False,79.38095238095238,225.8,53.55555555555556,188.0742605050755,Ivanhoe Primary School,100,399.00364112360853,Ivanhoe Girls' Grammar School,49
ID769590825,37/2 Gordon St,2,u,500000.0,22/08/2016,1.0,1.0,0.0,13.0,-37.8822,144.9994,ELSTERNWICK,19954,313.19516482855727,21,False,195.83333333333334,1779.0666666666666,147.3,158.7206101887183,Sholem Aleichem College,34,721.5715223174026,Caulfield Grammar School,24
ID710260499,151 Chambers Rd,3,h,900000.0,1/07/2017,1.0,2.0,672.0,59.0,-37.8265,144.84386,ALTONA NORTH,20022,3466.6696934735514,21,False,311.8333333333333,2261.4,423.0,711.5113110036067,Annunciation School,not ranked,584.7597438336039,Emmanuel College,180
ID769212337,1/124 Cuthbert St,3,t,465000.0,1/07/2017,2.0,3.0,248.0,9.0,-37.68358,144.92387,BROADMEADOWS,20030,379.6331946965156,40,False,89.21739130434783,317.9375,53.666666666666664,164.85839520606015,St Dominic's School,82,685.9637369891984,Penola Catholic College,361
ID725673856,124 Swanston St,3,h,1240000.0,17/06/2017,2.0,1.0,673.0,54.0,-37.75965,145.09937,TEMPLESTOWE LOWER,19935,3416.5820793634844,29,False,316.5416666666667,1022.8125,237.66666666666666,887.4037540688159,Templestowe Valley Primary School,313,2196.2625040247744,Templestowe College,307
ID891446764,26 Oxford St,3,h,1622000.0,27/05/2017,2.0,2.0,446.0,20.0,-37.84473,145.09218,CAMBERWELL,19849,1276.9782776010761,28,False,470.9583333333333,3339.705882352941,557.0,512.3797796634893,Wattle Park Primary School,89,1370.8345556841978,Presbyterian Ladies' College,6
ID540027384,2 Addison St,3,h,1370000.0,16/04/2016,1.0,2.0,427.0,10.0,-37.7702,144.9266,MOONEE PONDS,20039,707.0475420583349,20,False,46.333333333333336,86.29411764705883,21.666666666666668,460.79688271612645,Ascot Vale Primary School,249,1453.1104168083039,Mount Alexander 7-12 College,348
ID783196330,3/406 Wattletree Rd,3,t,1253000.0,7/05/2016,2.0,1.0,216.0,25.0,-37.866,145.0549,MALVERN EAST,22248,1676.2353916027018,19,False,87.14285714285714,348.73333333333335,76.0,506.57508322770394,Korowa Anglican Girls' School,22,506.57508322770394,Korowa Anglican Girls' School,13
ID583905526,1/165 Mitchell St,3,h,580000.0,10/12/2016,1.0,2.0,278.0,99.0,-37.7817,144.8685,MAIDSTONE,20022,2013.9029634276073,21,False,87.14285714285714,348.73333333333335,76.0,874.0713881277431,Christ the King Primary School,not ranked,1683.6505023790733,Caroline Chisholm Catholic College,235
