grant_id,patent_title,kind,number_of_claims,inventors,citations_applicant_count,citations_examiner_count,claims_text,abstract
US10357643,System for enhanced sealing of coupled medical fluid lines and method,"Utility Patent Grant (with a published application) issued on or after January 2, 2001.",20,[Sheila Buchanan],8,2,"[1. A system for enhanced sealing of coupled medical fluid and vascular access lines having a threaded connection, the system comprising:a male fitting made of rigid medical grade polymers, and including a male connector, a locking collar, and a female lock element fixed to the locking collar, the female lock element circumscribing the male connector, the locking collar circumscribing the female lock element, the male connector fluidly coupled to a first fluid line; anda female fitting made of rigid medical grade polymers, and including a female connector, a connector guide extending radially and axially from the female connector, and a male lock element fixed to the connector guide axially opposite the female connector and extending radially outward from the connector guide, the female connector fluidly coupled to a second fluid line and configured to sealingly mate with the male connector, the male lock element configured to removably couple with the female lock element; andan annular collar seal made of a non-rigid, medical grade polymer and affixable to the male fitting, the annular collar seal having an outer sealing lip and an inner sealing lip, the outer sealing lip configured to circumscribe and seal against the locking collar of the male fitting, the inner sealing lip configured to deformably permit passage of the male lock element of the female fitting through the inner sealing lip and into the locking collar, and further configured to seal against the connector guide after said passage of the male lock element.,2. The system of claim 1, wherein the male fitting is a male end of a Luer lock.,3. The system of claim 1, wherein the female fitting is a female end of a Luer lock.,4. The system of claim 1, wherein the locking collar and the female lock element of the male fitting are integrated together.,5. The system of claim 1, wherein the female lock element and the male lock element are configured as a screw coupling.,6. The system of claim 1, wherein the female lock element and the male lock element are configured as a lug coupling.,7. The system of claim 1, wherein one of the female fitting and the male fitting is configured as a hub of a vascular access device.,8. The system of claim 1, wherein the non-rigid medical grade polymer includes at least one of a thermoplastic elastomer, a silicone, or a styrene block copolymer.,9. The system of claim 1, wherein the inner sealing lip is configured to exert a compressive force on the connector guide and create a compressive seal against the connector guide.,10. The system of claim 1, wherein the annular collar seal is made of a sterilizable material.,11. The system of claim 1, wherein the locking collar of the male fitting is rotatable about the male connector.,12. The system of claim 1, wherein the annular collar seal has a cross sectional curvature along a radial of the annular collar seal between the inner sealing lip and the outer sealing lip, the cross sectional curvature extending away from the male fitting relative to a center axis of the annular collar seal and when affixed to the male fitting.,13. The system of claim 1, wherein the inner sealing lip is configured to provide a radial compressive seal against the connector guide when the female lock element is coupled to the male lock element.,14. The system of claim 1, wherein the outer sealing lip is sealed to the locking collar via a polymer weld.,15. The system of claim 1, wherein the outer sealing lip is sealed to the locking collar via an adhesive bond.,16. The system of claim 1, wherein the outer sealing lip is sealed to the locking collar via a compressive spring force seal.,17. A system for enhanced sealing of coupled medical fluid lines having a threaded connection, the system comprising:a male fitting made of rigid medical grade polymers, and including a male connector, a locking collar, and a female lock element fixed to the locking collar, the female lock element circumscribing the male connector, the locking collar circumscribing the female lock element, the male connector fluidly coupled to a first fluid line; anda female fitting made of rigid medical grade polymers, and including a female connector, a connector guide extending radially and axially from the female connector, and a male lock element fixed to the connector guide axially opposite the female connector and extending radially outward from the connector guide, the female connector fluidly coupled to a second fluid line and configured to sealingly mate with the male connector, the male lock element configured to removably couple with the female lock element; andan annular collar seal made of a non-rigid, medical grade polymer and affixable to the male fitting, the annular collar seal having an outer sealing lip and an inner sealing lip, the outer sealing lip configured to circumscribe and seal against the locking collar of male fitting, the inner sealing lip configured to deformably permit passage of the male lock element of the female fitting through the inner sealing lip and into the locking collar, and further configured to seal against the connector guide after said passage of the male lock element; andwherein the male fitting is a male end of a Luer lock;wherein the female fitting is a female end of a Luer lock;wherein the locking collar and the female lock element of the male fitting are integrated together;wherein the female lock element and the male lock element are configured as a screw coupling;wherein one of the female fitting and the male fitting is configured as a hub of a vascular access device;wherein the non-rigid medical grade polymer includes at least one of a thermoplastic elastomer, a silicone, or a styrene block copolymer;wherein the inner sealing lip is configured to exert a compressive force on the connector guide and create a compressive seal against the connector guide;wherein the annular collar seal is made of a sterilizable material;wherein the locking collar of the male fitting is rotatable about the male connector;wherein the annular collar seal has a cross sectional curvature along a radial of the annular collar seal between the inner sealing lip and the outer sealing lip, the cross sectional curvature extending away from the male fitting relative to a center axis of the annular collar seal and when affixed to the male fitting;wherein the inner sealing lip is configured to provide a radial compressive seal against the connector guide when the female lock element is coupled to the male lock element; andwherein the outer sealing lip is sealed to the locking collar via a compressive spring force seal.,18. The system of claim 17, further comprising a set of instructions; andwherein the system is arranged as a kit.,19. A method for enhanced sealing of coupled medical fluid lines having a threaded connection, the method comprising the steps of:providing a system for enhanced sealing of coupled medical fluid lines having a threaded connection, the system including a male Luer lock fitting, a female Luer lock fitting, and an annular collar seal, the male Luer lock fitting including a male connector, a locking collar, and a female lock element fixed to the locking collar, the female Luer lock fitting including a female connector, a connector guide extending radially and axially from the female connector, and a male lock element fixed to the connector guide axially opposite the female connector and extending radially outward from the connector guide, and the annular collar seal affixable to locking collar of the male Luer lock fitting and configured to permit passage of the connector guide and the male lock element of the female Luer lock fitting into the locking collar of the male Luer lock fitting, and further configured to seal against the connector guide after said passage of the connector guide and the male lock element;affixing the annular collar seal to the male Luer lock fitting such that the annular collar seal seals against the locking collar;fluidly coupling a first medical fluid line to the male connector of the male Luer lock fitting and a second medical fluid line to the female connector of the female Luer lock fitting;inserting the connector guide and the male lock element of the female Luer lock fitting through the annular collar and onto the male Luer lock fitting;coupling the male lock element of the female Luer lock fitting with the female lock element of the male Luer lock fitting; andtransferring a fluid between the first medical fluid line or vascular access device and the second medical fluid line via the male connector of the male Luer lock fitting and the female connector of the female Luer lock fitting.,20. The method of claim 19, further comprising the step of forming a persistent seal between the annular collar seal and the male Luer lock fitting via at least one of a polymer weld or an adhesive bond.]","A system for enhanced sealing of coupled medical fluid or vascular access lines includes a male fitting, a female fitting, and an annular collar seal which is affixable to the male fitting. After the annular collar seal is affixed to the male fitting, the female fitting is placed through the collar and connected to the male fitting."
US10362643,LED driver circuit and LED driving method,"Utility Patent Grant (with a published application) issued on or after January 2, 2001.",16,"[Young-Jong Kim,Hyun-Chul Eum]",0,14,"[1. A light emitting diode (LED) driver circuit, comprising:a dimmer connected to an AC input;a rectifier circuit that is configured to receive the AC input from the dimmer, and to rectify the AC input to generate an input voltage;an LED string having a first end defined by an anode of an LED element in a first position in the LED string, and the LED string having a second end defined by a cathode of an LED element in a last position of the LED string, the anode of the LED element in the first position connected to the input voltage;an LED conducting state detection circuit configured to detect a conducting state of the LED string, and to generate a discharge control signal in response to sensing the LED string in a non-conducting state wherein an LED current does not flow to the LED string; anda current source coupled between the rectifier circuit and the anode of the LED element in the first position in the LED string, the current source configured to generate a discharge current according to the discharge control signal when the LED string is in the non-conducting state.,2. The LED driver circuit of claim 1, wherein the current source generates the discharge current having a level according to the discharge control signal after a delay period from a time point of sensing the non-conducting state of the LED string.,3. The LED driver circuit of claim 1, wherein the LED conducting state detection circuit is configured to detect the conducting state of the LED string from a first end of the at least one LED element.,4. The LED driver circuit of claim 3, wherein the first end of the at least one LED element is a cathode of the at least one LED element.,5. The LED driver circuit of claim 3, wherein the first end of the at least one LED element is an anode of the at least one LED element.,6. The LED driver circuit of claim 1, wherein the LED conducting state detection circuit is configured to detect the conducting state of the LED string from a sense voltage developed on a sense resistor by the LED current.,7. The LED driver circuit of claim 1, wherein the LED conducting state detection circuit is configured to detect the conducting state of the LED string from an output of an amplifier that is configured to regulate the LED current.,8. A light emitting diode (LED) driver circuit, comprising:a dimmer connected to an AC input;a rectifier circuit that is configured to receive the AC input from the dimmer, and to rectify the AC input to generate an input voltage;an LED string having a first end that is connected to the input voltage, the LED string comprising at least one LED element;an LED conducting state detection circuit configured to detect a conducting state of the LED string, and to generate a discharge control signal in response to sensing the LED string in a non-conducting state wherein an LED current does not flow to the LED string; anda current source that is connected to the first end of the LED string, the current source being configured to generate a discharge current according to the discharge control signal when the LED string is in the non-conducting state;wherein the LED conducting state detection circuit comprises:a first transistor connected between a first node and a ground and operates according to a voltage at a first end of the at least one LED element; anda charging circuit connected to the first node,wherein the discharge control signal follows a voltage of the first node.,9. A light emitting diode (LED) driver circuit, comprising:an LED conducting state detection circuit configured to detect a conducting state of an LED string, and to generate a discharge control signal in response to sensing that the LED string is in a non-conducting state wherein an LED current does not flow to the LED string; anda current source coupled between a first end of the LED string and an input voltage, the current source configured to control a discharge current that flows to the current source according to the discharge control signal when the LED string is detected to be in the non-conducting state.,10. The LED driver circuit of claim 9, further comprising:a plurality of channel controllers that each controls a corresponding channel of a plurality of channels of the LED string; anda sense resistor that is configured to receive current flowing through each of the plurality of channels.,11. The LED driver circuit of claim 10, wherein the LED conducting state detection circuit is configured to detect that the LED string is in the non-conducting state from an output of a regulator amplifier of a channel of the plurality of channels.,12. The LED driver circuit of claim 10, wherein the LED conducting state detection circuit is configured to generate the discharge control signal in accordance with a sense voltage on the sense resistor.,13. The LED driver circuit of claim 10, wherein the LED conducting state detection circuit is configured to detect that the LED string is in the non-conducting state from a sense voltage on the sense resistor.,14. The LED driver circuit of claim 10, wherein the discharge current is from a capacitor that is charged by a source voltage of the LED conducting state detection circuit.,15. The LED driver circuit of claim 9, wherein the LED conducting state detection circuit is configured to detect that the LED string is in the non-conducting state from an end of an LED of the LED string.,16. The LED driver circuit of claim 9, further comprising:a dimmer; anda rectifier that is configured to generate the input voltage by rectifying an output of the dimmer.]","A light emitting diode (LED) driver circuit includes an LED string and a conducting state detection circuit. The conducting state detection circuit detects a conducting state of the LED string, and generates a discharge control signal upon sensing that the LED string is in a non-conducting state. A current source generates a discharge current according to the discharge control signal when the LED string is in the non-conducting state. A passive bleeder provides current compensation by internal regulator operation. An LED spike current suppression circuit suppresses spike current that can occur when the input voltage increases above a threshold. A bias supply circuit has an input capacitor that provides a bias voltage."
US10357065,Post surgery brassiere garment,"Utility Patent Grant (with a published application) issued on or after January 2, 2001.",25,"[Ciara Donlon,Kelly Lakin]",0,10,"[1. A post-surgery or a post breast cancer treatment brassiere garment for a wearer comprising:a connection means comprising strap means operable to secure the brassiere garmentover shoulders of the wearer, and a band region to enclose a portion of a torso of the wearer to secure the brassiere garment to the wearer;a first adjustment means operable to adjustably close the band region of the brassiere garment, anda second adjustment means operable to adjustably connect the strap means to a front region of the band region of the brassiere garment,whereby, the first and second adjustment means are together operable to adjustably compress the torso of the wearer in region of the wearers chest, wherein the garment comprises an inner layer and an outer layer, and the inner and outer layers of the garment have a material composition comprising between 70% to 95% bamboo fiber, and wherein the garment is used to accelerate wound-healing post-surgery or a post breast cancer treatment.,2. The garment according to claim 1, wherein the inner layer and the outer layer are connected such that the brassiere garment is unitary.,3. The garment according to claim 2, wherein the inner layer and the outer layer are seamlessly connected.,4. The garment according to claim 1, wherein the inner layer and/or the outer layer comprise a plurality of panels connected together to form the garment.,5. The garment according to claim 1, wherein the garment comprises an edge trim which extends along at least a of portion of a perimeter of the garment.,6. The garment according to claim 5, wherein an elastic is housed within the edge trim to avoid irritation of a wearer by skin contacting with the elastic.,7. The garment according to claim 1, wherein at least one opening is formed between the inner and outer layer defining a receiving pocket in a front region of the garment for a prosthesis or filling material simulating a breast of the wearer.,8. The garment according to claim 7, wherein the first and second adjustment means are together further operable to enable a wearer to adjust a position of a receiving pocket relative to a chest of the wearer when the brassiere garment is worn.,9. The garment according to claim 7, wherein the first adjustment means is provided adjacent the or each receiving pocket of the garment.,10. The garment according to claim 1, wherein the first adjustment means extends vertically from a top edge to a bottom edge of the front region or a back region.,11. The garment according to claim 1, wherein the front region comprises left and right side panels and the first adjustment means comprises a first fastening device operable to adjustably connect the left side panel to the right side panel, which when connected closes the band region of the garment.,12. The garment according to claim 1, wherein the back region comprises left and right side panels and the first adjustment means comprises a first fastening device operable to adjustably connect the left side panel to the right side panel, which when connected closes the band region of the garment.,13. The garment according to claim 1, wherein the first fastening device comprises a hook and eye arrangement or a zipper arrangement, or a combination thereof.,14. The garment according to claim 1, wherein the second adjustment means comprises a second fastening device to releasably connect the strap means to the front region of the brassiere garment.,15. The garment according to claim 1, the second adjustment means connects the strap means to the front region of the garment adjacent to a position of a receiving pocket of the garment.,16. The garment according to claim 1, wherein the strap means comprises a first end connected to a back region of the garment, and a second free end adapted to be connectable to a front region of the garment.,17. The garment according to claim 16, wherein the second free end mounts one of: a receiver and a connector of the second fastening device, and the front region mounts an other of: the receiver and the connector of the second fastening device, whereby the receiver and connector are engaged to adjustably connect the strap means to the front region of the brassiere garment.,18. The garment according to claim 17, wherein, the receiver of the second fastening means comprises a plurality of adjacent loop formations.,19. The garment according to claim 18, wherein the loop formations extend from a position intermediate the first end and second free end of the strap means in a sequence towards to the second free end.,20. The garment according to claim 16, wherein the loops are formed by a strip of material or tape connected to the outer layer.,21. The garment according to claim 16, wherein the loops are formed by a strip of material or tape connected to the outer layer along a face of the free end of the strap means or the front region of the garment or the back region of the garment.,22. The garment according to claim 20, wherein the strip of material or tape is connected to the outer layer of the garment by connections such that gaps formed in between the connections provide adjacent loop formations for coupling with the connector.,23. The garment according to claim 1, wherein the second fastening means comprises a hook operable to connect with a loop or a zipper arrangement.,24. The garment according to claim 1, further comprising molded cups within each receiving pocket on the or in between the first and second layers for insertion of a prosthesis.,25. A method for accelerating wound healing process following breast surgery or breast cancer treatment, said method comprising wearing a post-surgery or a post breast cancer treatment brassiere garment of claim 1 following breast surgery or breast cancer treatment, thereby accelerating wound healing process.]","A post-surgery brassiere garment for a wearer comprising a connection means comprising strap means operable to secure the brassiere garment over shoulders of the wearer, and a band region to enclose a portion of the torso of the wearer to secure the brassiere garment to the wearer; a first adjustment means operable to adjustably close the band region of the brassiere garment, and a second adjustment means operable to adjustably connect the strap means to a front region of the band region of the brassiere garment, whereby, the first and second adjustment means are together operable to adjustably compress the torso of the wearer in region of the wearers chest."
USD0854343,Mirror,Design Patent,1,[Raad Altemimei],37,25,"[I claim the ornamental design for a mirror, as shown and described.]",NA
USRE047533,Method and system of securing accounts,Reissue Patent,19,[Rob Bartlett],0,11,"[1. A non-transitory computer-readable medium that stores instructions executable by one or more processors to perform a method for enhancing security between a client computer and a software server, the method comprising:providing a software server;providing communicating with a database, which is accessible by the software server, said database comprising a record associated with an account, said account associated with at least one profile identifier, wherein said account is associated with a geographic area, said software server receives a geographic area associated with an IP Internet Protocol (IP) address associated with said client computer, the software server comprises a security protocol, said security protocol indicating 1) which profile identifiers of at least one profile identifier of a the client computer must match those at least one profile identifier on a the client account and 2) how many profile identifiers of at least one profile identifier of a the client computer must match those at least one profile identifier on a the client account, and the profile identifiers are at least one profile identifier is selected from the group consisting of:a. CPU Computer Processing Unit (CPU) serial and/or model number;, b. Motherboard serial and/or model number;, c. Hard Drive serial and/or model number;, d. Admin SSID Service Set Identifier (SSID) or UUID Universally Unique Identifier (UUID) provided by the operating system;, e. Manufacturer assigned computer system serial number and/or model number;, f. CD-ROM Compact Disk Read Only Memory (CD-ROM), DVD-ROM Digital Versatile Disk Read Only Memory (DVD-ROM) or other internal mass media storage device serial and/or model number;, g. BIOS Basic Input Output System (BIOS) serial and/or model number;, h. MAC Media Access Control (MAC) address,i. Monitor serial and/or model number,j. RAM Random Access Memory (RAM) serial and/or model number;, k. An universally unique identifier (UUID) or globally unique identifier (GUID) associated with the client computer or a vendor of the client computer,l. BIOS Manufacturer,m. BIOS Release Date;, andn. Vendor and Device IDs Identifiers (IDs) of all installed PCI Peripheral Component Interconnect (PCI) devices on the client computer;receiving from the client computer, by the software server, at least one profile identifier associated with said client computer;comparing said at least one profile identifier associated with said client computer to said at least one profile identifier associated with said account;comparing the geographic area associated with the IP address of the client computer to the geographic area associated with the account; when said at least one profile identifier associated with said client computer is the same as said at least one profile identifier associated with said account, permitting access to said account;when said at least one profile identifier associated with said client computer is not the same as said at least one profile identifier associated with said account, communicating with said client computer to determine if access to said account should be permitted;denying access to said account, if said geographic area associated with said IP address is not the same as said geographic area associated with said account or said at least one profile identifier of said client computer is not the same as said at least one profile identifier associated with said account,; andnotifying a law enforcement authority an administrator of the IP address and at least one profile identifier of said client computer, if said geographic area associated with said IP address is not the same as said geographic area associated with said account and said at least one profile identifier of said client computer is not the same as said at least one profile identifier associated with said account.,2. The non-transitory computer-readable medium of claim 1, wherein said account is associated with biometric information related to a user.,3. The non-transitory computer-readable medium of claim 2, wherein said software server receives said biometric information from said client computer.,4. A non-transitory computer-readable medium that stores instructions executable by one or more processors to perform a method for enhancing security, the method comprising:providing an account;communicating with a database accessible by a software server having a security protocol for permitting access to the account, the database comprising at least one profile identifier associated with the account and a geographic area associated with the account;receiving from a client computer, by the software server, at least one profile identifier associated with the client computer and a geographic area associated with an Internet Protocol (IP) address of the client computer;comparing the at least one profile identifier associated with the client computer to the at least one profile identifier associated with the account;comparing the geographic area associated with the IP address of the client computer to the geographic area associated with the account;wherein when the at least one profile identifier associated with the client computer is the same as the at least one profile identifier associated with the account, permitting the client computer access to the account;wherein when the at least one profile identifier associated with the client computer is not the same as the at least one profile identifier associated with the account, communicating with the client computer to determine if access to the account should be permitted;wherein when the geographic area associated with the IP address of the client computer is not the same as the geographic area associated with the account and when the at least one profile identifier associated with the client computer is not the same as the at least one profile identifier associated with the account, notifying an administrator;wherein the at least one profile identifier associated with the account is selected from the group consisting of: a Computer Processing Unit (CPU) serial number, a CPU model number; a motherboard serial number, a motherboard model number, a hard drive serial number, a hard drive model number, an admin Service Set Identifier (SSID) provided by the operating system, an admin Universally Unique Identifier (UUID) provided by the operating system, a manufacturer assigned computer system serial number, a manufacturer assigned computer system model number, a Compact Disk Read Only Memory (CD-ROM) serial number, a CD-ROM model number, a Digital Versatile Disk Read Only Memory (DVD-ROM) serial number, a DVD-ROM model number, an internal mass media storage device serial number, an internal mass media storage device model number, a Basic Input Output System (BIOS) serial number, a BIOS model number, a Media Access Control (MAC) address, a monitor serial number, a monitor model number, a Random Access Memory (RAM) serial number, a RAM model number, a universally unique identifier (UUID) associated with the client computer, a universally unique identifier (UUID) associated with a vendor of the client computer, a globally unique identifier (GUID) associated with the client computer, a globally unique identifier (GUID) associated with a vendor of the client computer, a BIOS manufacturer, a BIOS release date, vendor and device Identifiers (IDs) of all installed Peripheral Component Interconnect (PCI) devices on the client computer;wherein the at least one profile identifier associated with the client computer is selected from the group consisting of: a CPU serial number, a CPU model number; a motherboard serial number, a motherboard model number, a hard drive serial number, a hard drive model number, an admin SSID provided by the operating system, an admin UUID provided by the operating system, a manufacturer assigned computer system serial number, a manufacturer assigned computer system model number, a CD-ROM serial number, a CD-ROM model number, a DVD-ROM serial number, a DVD-ROM model number, an internal mass media storage device serial number, an internal mass media storage device model number, a BIOS serial number, a BIOS model number, a MAC address, a monitor serial number, a monitor model number, a RAM serial number, a RAM model number, a universally unique identifier (UUID) associated with the client computer, a universally unique identifier (UUID) associated with a vendor of the client computer, a globally unique identifier (GUID) associated with the client computer, a globally unique identifier (GUID) associated with a vendor of the client computer, a BIOS manufacturer, a BIOS release date, vendor and device IDs of all installed PCI devices on the client computer.,5. The non-transitory computer-readable medium of claim 4, wherein the account is associated with biometric information related to a user of the account.,6. The non-transitory computer-readable medium of claim 5, wherein the software server receives said biometric information from the client computer.,7. The non-transitory computer-readable medium of claim 4, wherein the database is accessible by the software server.,8. The non-transitory computer-readable medium of claim 4, wherein communicating with the database comprising the at least one profile identifier associated with the account and the geographic area associated with the account, comprises:registering the account with the at least one profile identifier associated with the account and the geographic area associated with the account.,9. The non-transitory computer-readable medium of claim 8, wherein registering the account with the at least one profile identifier associated with the account and the geographic area associated with the account comprises automatically registering the account with the at least one profile identifier associated with the account and the geographic area associated with the account.,10. The non-transitory computer-readable medium of claim 4, wherein the administrator is an administrator of the software server.,11. The non-transitory computer-readable medium of claim 4, wherein when the geographic area associated with the client computer is not the same as the geographic area associated with the account or when the at least one profile identifier associated with the client computer is not the same as the at least one profile identifier associated with the account, denying the client computer access to the account.,12. The non-transitory computer-readable medium of claim 11, wherein notifying the administrator comprises notifying the administrator of the geographic area associated with the client computer and the at least one profile identifier associated with the client computer.,13. A non-transitory computer-readable medium that stores instructions executable by one or more processors to perform a method, the method comprising:providing an account, wherein the account is associated with a user;providing a security protocol;communicating with a database;storing at least one profile identifier and a geographic location associated with the account on the database;detecting an attempt to access the account by a computer;determining at least one profile identifier associated with the computer and a geographic location associated with the computer;comparing the at least one profile identifier associated with the account to the at least one profile identifier associated with the computer;comparing the geographic location associated with the account to the geographic location associated with the computer;permitting the computer access to the account when 1) the at least one profile identifier associated with the account is the same as the at least one profile identifier associated with the computer and 2) the geographic location associated with the account is the same as the geographic location associated with the computer;communicating with the user to determine if access to the account should be permitted when the at least one profile identifier associated with the account is different from the at least one profile identifier associated with the computer;reporting the at least one profile identifier associated with the computer and the geographic location associated with the computer to an administrator of the at least one profile identifier when 1) the at least one profile identifier associated with the account is different from the at least one profile identifier associated with the computer and 2) the geographic location associated with the account is different from the geographic location associated with the computer;wherein said at least one profile identifier associated with said account is selected from the group consisting of: a Computer Processing Unit (CPU) serial number, a CPU model number; a motherboard serial number, a motherboard model number, a hard drive serial number, a hard drive model number, an admin Service Set Identifier (SSID) provided by the operating system, an admin Universally Unique Identifier (UUID) provided by the operating system, a manufacturer assigned computer system serial number, a manufacturer assigned computer system model number, a Compact Disk Read Only Memory (CD-ROM) serial number, a CD-ROM model number, a Digital Versatile Disk Read Only Memory (DVD-ROM) serial number, a DVD-ROM model number, an internal mass media storage device serial number, an internal mass media storage device model number, a Basic Input Output System (BIOS) serial number, a BIOS model number, a Media Access Control (MAC) address, a monitor serial number, a monitor model number, a Random Access Memory (RAM) serial number, a RAM model number, a universally unique identifier (UUID) associated with the client computer, a universally unique identifier (UUID) associated with a vendor of the client computer, a globally unique identifier (GUID) associated with the client computer, a globally unique identifier (GUID) associated with a vendor of the client computer, a BIOS manufacturer, a BIOS release date, vendor and device Identifiers (IDs) of all installed Peripheral Component Interconnect (PCI) devices on the client computer;wherein said at least one profile identifier associated with said client computer is selected from the group consisting of: a CPU serial number, a CPU model number; a motherboard serial number, a motherboard model number, a hard drive serial number, a hard drive model number, an admin SSID provided by the operating system, an admin UUID provided by the operating system, a manufacturer assigned computer system serial number, a manufacturer assigned computer system model number, a CD-ROM serial number, a CD-ROM model number, a DVD-ROM serial number, a DVD-ROM model number, an internal mass media storage device serial number, an internal mass media storage device model number, a BIOS serial number, a BIOS model number, a MAC address, a monitor serial number, a monitor model number, a Identifiers RAM serial number, a RAM model number, a universally unique identifier (UUID) associated with the client computer, a universally unique identifier (UUID) associated with a vendor of the client computer, a globally unique identifier (GUID) associated with the client computer, a globally unique identifier (GUID) associated with a vendor of the client computer, a BIOS manufacturer, a BIOS release date, vendor and device IDs of all installed Peripheral Component Interconnect PCI devices on the client computer.,14. The non-transitory computer-readable medium of claim 13, wherein the reporting the at least one profile identifier associated with the computer and the geographic location associated with the computer to the administrator of the at least one profile identifier when 1) the at least one profile identifier associated with the account is different from the at least one profile identifier associated with the computer and 2) the geographic location associated with the account is different from the geographic location associated with the computer comprises:notifying the administrator of the at least one profile identifier associated with the computer and the geographic location associated with the computer.,15. The non-transitory computer-readable medium of claim 14, further comprising communicating with the user to confirm whether the user attempted to access the account with the computer when 1) the at least one profile identifier associated with the account is different from the at least one profile identifier associated with the computer and 2) the geographic location associated with the account is different from the geographic location associated with the computer.,16. The non-transitory computer-readable medium of claim 15, further comprising:when the user confirms that the user attempted to access the account with the computer:permitting the computer access to the account, andstoring the at least one profile identifier and the geographic location associated with the computer on the database as another at least one profile identifier and another geographic location associated with the account;when the user does not confirm that the user attempted to access the account with the computer:suspending the account, andnotifying the administrator.,17. The non-transitory computer-readable medium of claim 13, wherein the security protocol is configured to permit the computer access to the account when 1) the at least one profile identifier associated with the account is the same as the at least one profile identifier associated with the computer and 2) the geographic location associated with the account is the same as the geographic location associated with the computer, said security protocol indicating:which of the at least one profile identifier associated with the computer must match the at least one profile identifier associated with the account, anda number of the at least one profile identifier associated with the computer which must match the at least one profile identifier associated with the account.,18. The non-transitory computer-readable medium of claim 13, wherein determining the geographic location associated with the computer, comprises:determining an IP address associated with the computer; anddetermining the geographic area associated with the computer from the IP address associated with the computer.,19. A non-transitory computer-readable medium that stores instructions executable by one or more processors to perform a method, the method comprising:registering an account associated with a user, wherein the account is associated with at least one profile identifier and a geographic location;determining a geographic location associated with a computer attempting to access the account;providing a security protocol for permitting access to the account, wherein the security profile determines at least one profile identifier associated with the computer attempting to access the account which must match at least one profile identifier associated with the account;determining at least one profile identifier associated with the computer attempting to access the account;comparing the at least one profile identifier associated with the account to the at least one profile identifier associated with the computer;comparing the geographic location associated with the account to the geographic location associated with the computer;permitting the computer access to the account when 1) the at least one profile identifier associated with the account is the same as the at least one profile identifier associated with the computer and 2) the geographic location associated with the account is the same as the geographic location associated with the computer;denying the computer access to the account when the at least one profile identifier associated with the account is not the same as the at least one profile identifier associated with the computer;communicating with the user or computer to determine if access to the account should be permitted when the at least one profile identifier associated with the account is not the same as the at least one profile identifier associated with the computer;notifying an administrator when 1) the at least one profile identifier associated with the account is different from the at least one profile identifier associated with the computer and 2) the geographic location associated with the account is different from the geographic location associated with the computer;wherein said at least one profile identifier associated with said account is selected from the group consisting of: a Computer Processing Unit (CPU) serial number, a CPU model number; a motherboard serial number, a motherboard model number, a hard drive serial number, a hard drive model number, an admin Service Set Identifier (SSID) provided by the operating system, an admin Universally Unique Identifier (UUID) provided by the operating system, a manufacturer assigned computer system serial number, a manufacturer assigned computer system model number, a Compact Disk Read Only Memory (CD-ROM) serial number, a CD-ROM model number, a Digital Versatile Disk Read Only Memory (DVD-ROM) serial number, a DVD-ROM model number, an internal mass media storage device serial number, an internal mass media storage device model number, a Basic Input Output System (BIOS) serial number, a BIOS model number, a Media Access Control (MAC) address, a monitor serial number, a monitor model number, a Random Access Memory (RAM) serial number, a RAM model number, a universally unique identifier (UUID) associated with the client computer, a universally unique identifier (UUID) associated with a vendor of the client computer, a globally unique identifier (GUID) associated with the client computer, a globally unique identifier (GUID) associated with a vendor of the client computer, a BIOS manufacturer, a BIOS release date, vendor and device (IDs) of all installed Peripheral Component Interconnect (PCI) devices on the client computer;wherein said at least one profile identifier associated with said client computer is selected from the group consisting of: a CPU serial number, a CPU model number; a motherboard serial number, a motherboard model number, a hard drive serial number, a hard drive model number, an admin SSID provided by the operating system, an admin UUID provided by the operating system, a manufacturer assigned computer system serial number, a manufacturer assigned computer system model number, a CD-ROM serial number, a CD-ROM model number, a DVD-ROM serial number, a DVD-ROM model number, an internal mass media storage device serial number, an internal mass media storage device model number, a BIOS serial number, a BIOS model number, a MAC address, a monitor serial number, a monitor model number, a RAM serial number, a RAM model number, a universally unique identifier (UUID) associated with the client computer, a universally unique identifier (UUID) associated with a vendor of the client computer, a globally unique identifier (GUID) associated with the client computer, a globally unique identifier (GUID) associated with a vendor of the client computer, a BIOS manufacturer, a BIOS release date, vendor and device IDs of all installed PCI devices on the client computer.]","A method and system of securing account is provided. When a client computer requests access to an account accessible via a server, the server determines a MAC address associated with the client computer and compares it to a MAC address associated with the account. If the MAC address of the client computer is not the same as the MAC address associated with the account, the server initially denies access to the client computer, but may allow access after verification of the client computer by the user associated with the account."
